project_id,project_name,ministry,sector,status,original_cost_cr,revised_cost_cr,expenditure_cr,physical_progress_pct,planned_duration_months,milestone_slip_months,spend_deviation_pct,cost_overrun_pct,progress_variance,start_date,planned_end_date,cost_risk,delay_risk,overall_risk
PRJ-0141,Coal Mining Project 141,"Ministry of Ports, Shipping & Waterways",Coal Mining,Delayed,992.13,1065.94,661.48,36.0,15,18.3,26.1,7.4,26.1,2024-08-08,2025-11-01,1,1,1
PRJ-0142,Water Supply Project 142,Ministry of Railways,Water Supply,Delayed,1043.19,1167.54,824.67,30.8,23,11.9,39.8,11.9,39.8,2025-06-25,2027-05-16,1,1,1
PRJ-0143,Health Infra Project 143,Ministry of Rural Development,Health Infra,Under Review,307.3,410.86,270.73,41.0,59,1.3,24.8,33.7,24.8,2024-02-16,2028-12-21,1,0,1
PRJ-0144,Rural Roads Project 144,Ministry of Coal,Rural Roads,Ongoing,375.18,424.79,301.69,43.1,41,3.3,27.9,13.2,27.9,2024-09-10,2028-01-23,1,1,1
PRJ-0145,Power Generation Project 145,Ministry of Steel,Power Generation,Ongoing,453.19,619.31,332.18,39.6,17,9.6,14.0,36.7,14.0,2025-08-24,2027-01-16,1,1,1
PRJ-0146,Urban Development Project 146,Ministry of Jal Shakti,Urban Development,Ongoing,140.16,184.88,164.19,28.9,36,0.0,59.9,31.9,59.9,2025-07-01,2028-06-15,1,1,1
PRJ-0147,Coal Mining Project 147,Ministry of Health & Family Welfare,Coal Mining,Completed,103.4,173.97,165.41,95.4,29,0.0,-0.4,68.2,0.4,2024-09-06,2027-01-24,1,0,1
PRJ-0148,Health Infra Project 148,Ministry of Chemicals & Fertilizers,Health Infra,Stalled,984.12,1604.28,1042.05,34.7,48,1.7,30.3,63.0,30.3,2024-11-09,2028-10-19,1,1,1
PRJ-0149,Oil & Gas Project 149,Ministry of Heavy Industries,Oil & Gas,Ongoing,67.48,106.35,51.51,29.7,68,6.5,18.7,57.6,18.7,2024-11-22,2030-06-24,1,1,1
PRJ-0150,Water Supply Project 150,"Ministry of Ports, Shipping & Waterways",Water Supply,Delayed,15.78,16.81,8.69,16.5,12,8.4,35.2,6.5,35.2,2025-05-31,2026-05-26,1,1,1
PRJ-0151,Urban Development Project 151,Ministry of Petroleum & Natural Gas,Urban Development,Completed,112.54,183.33,189.59,96.0,18,0.0,7.4,62.9,7.4,2024-10-03,2026-03-27,1,0,1
PRJ-0152,Oil & Gas Project 152,Ministry of Agriculture,Oil & Gas,Delayed,380.19,548.24,123.53,87.0,14,5.9,-64.4,44.2,64.4,2024-02-13,2025-04-08,1,1,1
PRJ-0153,Steel Plants Project 153,Ministry of Housing & Urban Affairs,Steel Plants,Ongoing,970.81,1377.25,522.96,61.0,39,2.8,-23.0,41.9,23.0,2024-10-23,2028-01-06,1,0,1
PRJ-0154,Urban Development Project 154,Ministry of Steel,Urban Development,Completed,680.84,853.37,801.98,98.3,14,10.8,-4.3,25.3,4.3,2024-10-09,2025-12-03,1,1,1
PRJ-0155,Telecom Project 155,Ministry of Coal,Telecom,Completed,67.96,85.34,78.84,95.5,56,4.0,-3.1,25.6,3.1,2025-06-16,2030-01-21,1,0,1
PRJ-0156,Irrigation Project 156,Ministry of Railways,Irrigation,Under Review,54.03,93.72,22.36,31.5,71,7.7,-7.7,73.5,7.7,2025-01-11,2030-11-11,1,1,1
PRJ-0157,Power Generation Project 157,Ministry of Railways,Power Generation,Stalled,34.86,38.01,8.35,66.5,44,14.1,-44.5,9.0,44.5,2025-11-05,2029-06-17,1,1,1
PRJ-0158,Irrigation Project 158,Ministry of Rural Development,Irrigation,Completed,1518.65,2543.72,2556.92,95.8,44,1.6,4.7,67.5,4.7,2024-09-28,2028-05-10,1,0,1
PRJ-0159,Urban Development Project 159,Ministry of Education,Urban Development,Ongoing,119.94,126.51,96.22,52.2,64,5.9,23.8,5.5,23.8,2024-10-28,2030-01-30,1,0,1
PRJ-0160,Education Infra Project 160,Ministry of Railways,Education Infra,Delayed,370.71,627.11,368.31,40.7,46,5.8,18.0,69.2,18.0,2025-10-20,2029-07-31,1,0,1
PRJ-0161,Power Generation Project 161,Ministry of Agriculture,Power Generation,Completed,710.8,870.88,854.29,95.1,25,2.9,3.0,22.5,3.0,2024-04-29,2026-05-19,0,0,0
PRJ-0162,Steel Plants Project 162,Ministry of Agriculture,Steel Plants,Ongoing,598.54,885.27,178.46,19.7,39,3.4,0.5,47.9,0.5,2025-05-28,2028-08-10,1,0,1
PRJ-0163,Water Supply Project 163,Ministry of Health & Family Welfare,Water Supply,Ongoing,34.77,56.72,34.53,41.1,32,0.0,19.8,63.1,19.8,2024-11-20,2027-07-08,1,0,1
PRJ-0164,Oil & Gas Project 164,Ministry of Coal,Oil & Gas,Delayed,535.9,720.43,290.74,72.4,23,16.1,-32.0,34.4,32.0,2024-06-22,2026-05-13,1,1,1
PRJ-0165,Airports Project 165,Ministry of Jal Shakti,Airports,Ongoing,1185.47,1407.56,1097.06,42.4,14,0.0,35.5,18.7,35.5,2025-05-06,2026-06-30,1,1,1
PRJ-0166,Telecom Project 166,Ministry of Rural Development,Telecom,Delayed,309.06,533.41,181.94,87.6,53,5.2,-53.5,72.6,53.5,2025-03-24,2029-07-31,1,1,1
PRJ-0167,Agriculture Infra Project 167,Ministry of Rural Development,Agriculture Infra,Delayed,349.85,429.59,223.51,66.9,64,13.2,-14.9,22.8,14.9,2024-11-13,2030-02-15,0,1,1
PRJ-0168,Airports Project 168,Ministry of Coal,Airports,Delayed,271.41,423.89,400.26,70.7,24,10.5,23.7,56.2,23.7,2024-05-06,2026-04-26,1,1,1
PRJ-0169,Rural Roads Project 169,Ministry of Heavy Industries,Rural Roads,Ongoing,558.6,559.54,405.14,71.4,58,3.9,1.0,0.2,1.0,2025-11-19,2030-08-25,0,0,0
PRJ-0170,Irrigation Project 170,Ministry of Jal Shakti,Irrigation,Ongoing,1518.8,1605.08,343.72,22.6,26,7.1,-1.2,5.7,1.2,2024-02-10,2026-03-31,0,1,1
PRJ-0171,Agriculture Infra Project 171,Ministry of Chemicals & Fertilizers,Agriculture Infra,Ongoing,572.41,852.92,724.1,77.3,31,2.9,7.6,49.0,7.6,2025-03-29,2027-10-15,1,0,1
PRJ-0172,Power Generation Project 172,Ministry of Heavy Industries,Power Generation,Ongoing,195.71,338.21,269.35,37.0,42,0.0,42.6,72.8,42.6,2024-10-05,2028-03-18,1,1,1
PRJ-0173,Power Generation Project 173,Ministry of Jal Shakti,Power Generation,Ongoing,936.0,1378.01,456.15,29.3,43,4.3,3.8,47.2,3.8,2025-03-26,2028-10-06,1,0,1
PRJ-0174,Rural Roads Project 174,Ministry of Chemicals & Fertilizers,Rural Roads,Ongoing,176.46,231.94,132.35,56.8,45,3.0,0.3,31.4,0.3,2025-03-15,2028-11-24,1,0,1
PRJ-0175,Coal Mining Project 175,Ministry of Education,Coal Mining,Delayed,44.92,47.5,22.69,78.8,60,10.1,-31.1,5.7,31.1,2025-07-29,2030-07-03,1,1,1
PRJ-0176,Power Generation Project 176,Ministry of Housing & Urban Affairs,Power Generation,Under Review,144.94,148.53,68.38,53.0,53,8.9,-7.0,2.5,7.0,2025-07-16,2029-11-22,0,1,1
PRJ-0177,Irrigation Project 177,Ministry of Housing & Urban Affairs,Irrigation,Under Review,564.73,837.13,679.22,43.6,60,4.1,37.5,48.2,37.5,2024-03-17,2029-02-19,1,1,1
PRJ-0178,Power Generation Project 178,Department of Telecommunications,Power Generation,Ongoing,95.07,99.45,42.16,83.5,55,5.5,-41.1,4.6,41.1,2025-06-16,2029-12-22,1,1,1
PRJ-0179,Agriculture Infra Project 179,Ministry of Power,Agriculture Infra,Delayed,11.75,21.09,18.02,71.4,51,7.8,14.0,79.5,14.0,2024-08-01,2028-10-09,1,1,1
PRJ-0180,Railways Project 180,Ministry of Jal Shakti,Railways,Completed,123.81,176.64,184.78,95.2,32,2.6,9.4,42.7,9.4,2025-01-29,2027-09-16,1,0,1
PRJ-0181,Telecom Project 181,Ministry of Heavy Industries,Telecom,Completed,536.17,747.18,722.59,99.6,47,4.6,-2.9,39.4,2.9,2024-04-11,2028-02-20,1,0,1
PRJ-0182,Health Infra Project 182,Ministry of Education,Health Infra,Delayed,353.66,624.15,193.72,44.2,20,3.7,-13.2,76.5,13.2,2024-04-25,2025-12-16,1,0,1
PRJ-0183,Power Generation Project 183,Ministry of Chemicals & Fertilizers,Power Generation,Delayed,149.61,192.54,152.79,45.1,35,11.6,34.2,28.7,34.2,2025-06-30,2028-05-15,1,1,1
PRJ-0184,Health Infra Project 184,Ministry of Road Transport & Highways,Health Infra,Ongoing,454.6,728.61,557.48,44.5,20,0.0,32.0,60.3,32.0,2024-05-06,2025-12-27,1,1,1
PRJ-0185,Urban Development Project 185,Ministry of Jal Shakti,Urban Development,Ongoing,788.44,1134.81,744.06,29.7,24,0.0,35.9,43.9,35.9,2025-11-15,2027-11-05,1,1,1
PRJ-0186,Health Infra Project 186,Department of Telecommunications,Health Infra,Ongoing,224.59,379.72,178.86,67.6,34,5.0,-20.5,69.1,20.5,2025-09-23,2028-07-09,1,0,1
PRJ-0187,Water Supply Project 187,Department of Telecommunications,Water Supply,Completed,55.31,93.67,89.87,96.2,47,4.6,-0.2,69.4,0.2,2025-03-31,2029-02-08,1,0,1
PRJ-0188,Agriculture Infra Project 188,Ministry of Jal Shakti,Agriculture Infra,Stalled,30.39,47.91,22.57,74.9,42,8.1,-27.7,57.7,27.7,2024-10-16,2028-03-29,1,1,1
PRJ-0189,Water Supply Project 189,Ministry of Civil Aviation,Water Supply,Ongoing,658.6,825.24,191.05,40.9,12,6.0,-17.8,25.3,17.8,2025-09-10,2026-09-05,1,0,1
PRJ-0190,Agriculture Infra Project 190,Ministry of Education,Agriculture Infra,Ongoing,504.69,777.28,188.74,64.6,34,4.1,-40.3,54.0,40.3,2024-08-05,2027-05-22,1,1,1
PRJ-0191,Agriculture Infra Project 191,Ministry of Chemicals & Fertilizers,Agriculture Infra,Ongoing,111.06,171.13,154.91,42.1,20,0.0,48.4,54.1,48.4,2025-06-16,2027-02-06,1,1,1
PRJ-0192,Power Generation Project 192,Ministry of Coal,Power Generation,Delayed,126.39,163.78,31.43,20.1,52,6.1,-0.9,29.6,0.9,2024-01-13,2028-04-21,1,1,1
PRJ-0193,Power Transmission Project 193,Ministry of Road Transport & Highways,Power Transmission,Delayed,3055.1,4540.49,1753.73,68.3,35,17.8,-29.7,48.6,29.7,2024-09-19,2027-08-05,1,1,1
PRJ-0194,Power Transmission Project 194,Ministry of Road Transport & Highways,Power Transmission,Ongoing,280.38,465.05,360.7,67.5,64,5.7,10.0,65.9,10.0,2024-02-13,2029-05-17,1,0,1
PRJ-0195,Water Supply Project 195,Ministry of Railways,Water Supply,Ongoing,188.36,249.28,143.27,80.1,65,0.7,-22.6,32.3,22.6,2025-06-19,2030-10-21,1,0,1
PRJ-0196,Coal Mining Project 196,Ministry of Heavy Industries,Coal Mining,Completed,163.48,269.04,258.01,95.0,17,3.2,0.9,64.6,0.9,2025-01-25,2026-06-19,1,0,1
PRJ-0197,Oil & Gas Project 197,Ministry of Education,Oil & Gas,Delayed,260.1,432.76,274.76,48.4,67,11.2,15.1,66.4,15.1,2025-03-31,2030-10-01,1,1,1
PRJ-0198,Health Infra Project 198,Department of Telecommunications,Health Infra,Ongoing,677.83,1214.78,414.64,63.2,67,10.4,-29.1,79.2,29.1,2025-08-30,2031-03-02,1,1,1
PRJ-0199,Telecom Project 199,Ministry of Rural Development,Telecom,Delayed,62.52,111.62,63.82,15.9,15,8.8,41.3,78.5,41.3,2025-02-15,2026-05-11,1,1,1
PRJ-0200,Irrigation Project 200,Ministry of Rural Development,Irrigation,Delayed,154.52,182.98,33.97,14.8,44,6.2,3.7,18.4,3.7,2025-02-25,2028-10-07,0,1,1
PRJ-0201,Coal Mining Project 201,Ministry of Agriculture,Coal Mining,Ongoing,3815.16,6452.08,3452.29,78.7,56,4.9,-25.2,69.1,25.2,2024-08-22,2029-03-29,1,1,1
PRJ-0202,Rural Roads Project 202,Ministry of Coal,Rural Roads,Delayed,10.93,19.26,10.94,66.3,23,10.6,-9.5,76.2,9.5,2024-05-18,2026-04-08,1,1,1
PRJ-0203,Ports Project 203,Ministry of Railways,Ports,Ongoing,211.44,292.11,211.68,53.2,58,2.5,19.3,38.2,19.3,2025-08-28,2030-06-03,1,0,1
PRJ-0204,Irrigation Project 204,Ministry of Coal,Irrigation,Ongoing,1595.12,2050.72,1827.1,16.7,53,0.6,72.4,28.6,72.4,2024-09-11,2029-01-18,1,1,1
PRJ-0205,Power Generation Project 205,Ministry of Housing & Urban Affairs,Power Generation,Stalled,336.65,336.77,293.36,58.0,65,10.9,29.1,0.0,29.1,2024-09-03,2030-01-05,1,1,1
PRJ-0206,Water Supply Project 206,Ministry of Agriculture,Water Supply,Completed,398.53,512.85,481.7,99.8,61,5.1,-5.9,28.7,5.9,2024-02-27,2029-03-02,1,0,1
PRJ-0207,Oil & Gas Project 207,Department of Telecommunications,Oil & Gas,Under Review,38.54,56.43,31.79,65.2,37,1.9,-8.8,46.4,8.8,2025-02-06,2028-02-21,1,0,1
PRJ-0208,Education Infra Project 208,Ministry of Housing & Urban Affairs,Education Infra,Completed,158.69,184.67,182.07,99.7,52,7.6,-1.1,16.4,1.1,2025-01-02,2029-04-11,0,1,1
PRJ-0209,Power Transmission Project 209,Ministry of Petroleum & Natural Gas,Power Transmission,Delayed,157.19,254.16,171.23,34.6,14,4.8,32.8,61.7,32.8,2024-10-16,2025-12-10,1,1,1
PRJ-0210,Coal Mining Project 210,Ministry of Housing & Urban Affairs,Coal Mining,Ongoing,807.53,841.06,254.75,70.2,23,9.8,-39.9,4.2,39.9,2024-02-07,2025-12-28,1,1,1
PRJ-0211,Rural Roads Project 211,Ministry of Housing & Urban Affairs,Rural Roads,Completed,140.85,242.48,240.25,95.4,50,0.0,3.7,72.2,3.7,2025-06-11,2029-07-20,1,0,1
PRJ-0212,Railways Project 212,Ministry of Steel,Railways,Completed,484.04,500.47,493.54,97.6,15,5.7,1.0,3.4,1.0,2025-07-13,2026-10-06,0,0,0
PRJ-0213,Water Supply Project 213,Ministry of Jal Shakti,Water Supply,Under Review,464.71,730.27,379.28,72.3,12,6.3,-20.4,57.1,20.4,2025-02-10,2026-02-05,1,1,1
PRJ-0214,Oil & Gas Project 214,Ministry of Coal,Oil & Gas,Ongoing,414.64,655.81,393.26,82.4,66,1.0,-22.4,58.2,22.4,2024-07-10,2029-12-11,1,0,1
PRJ-0215,Water Supply Project 215,Ministry of Jal Shakti,Water Supply,Ongoing,39.59,61.91,49.76,19.1,68,2.7,61.3,56.4,61.3,2024-06-16,2030-01-16,1,1,1
PRJ-0216,Rural Roads Project 216,Department of Telecommunications,Rural Roads,Completed,18.47,20.42,19.45,99.0,31,0.9,-3.7,10.5,3.7,2024-04-04,2026-10-21,0,0,0
PRJ-0217,Rural Roads Project 217,Ministry of Power,Rural Roads,Under Review,48.69,55.03,16.48,68.7,23,0.0,-38.7,13.0,38.7,2024-05-05,2026-03-26,1,1,1
PRJ-0218,Education Infra Project 218,Ministry of Housing & Urban Affairs,Education Infra,Delayed,102.08,108.93,45.4,31.3,33,11.5,10.3,6.7,10.3,2024-07-15,2027-04-01,0,1,1
PRJ-0219,Coal Mining Project 219,Ministry of Agriculture,Coal Mining,Stalled,682.79,689.06,351.49,71.5,21,1.6,-20.5,0.9,20.5,2024-01-17,2025-10-08,1,0,1
PRJ-0220,Water Supply Project 220,Ministry of Rural Development,Water Supply,Ongoing,90.54,125.53,45.8,31.5,71,0.0,5.0,38.6,5.0,2025-08-08,2031-06-08,1,0,1
PRJ-0221,Urban Development Project 221,Ministry of Education,Urban Development,Ongoing,2036.22,2782.33,622.34,56.7,13,8.3,-34.3,36.6,34.3,2025-02-17,2026-03-14,1,1,1
PRJ-0222,Roads & Highways Project 222,Ministry of Coal,Roads & Highways,Delayed,622.38,746.62,113.2,54.4,15,11.0,-39.3,20.0,39.3,2024-03-05,2025-05-29,1,1,1
PRJ-0223,Roads & Highways Project 223,Department of Telecommunications,Roads & Highways,Ongoing,1164.41,1707.42,601.83,39.0,47,0.0,-3.7,46.6,3.7,2024-03-23,2028-02-01,1,0,1
PRJ-0224,Health Infra Project 224,Ministry of Education,Health Infra,Completed,206.62,291.37,292.83,96.0,30,0.0,4.5,41.0,4.5,2024-09-04,2027-02-21,1,0,1
PRJ-0225,Steel Plants Project 225,Ministry of Road Transport & Highways,Steel Plants,Delayed,25.71,33.37,13.89,41.3,29,6.0,0.3,29.8,0.3,2025-07-03,2027-11-20,1,0,1
PRJ-0226,Steel Plants Project 226,Ministry of Civil Aviation,Steel Plants,Delayed,1427.61,1734.66,771.51,57.3,65,2.9,-12.8,21.5,12.8,2025-07-02,2030-11-03,0,0,0
PRJ-0227,Power Transmission Project 227,Ministry of Petroleum & Natural Gas,Power Transmission,Delayed,387.39,517.36,284.58,39.7,22,12.0,15.3,33.6,15.3,2025-11-28,2027-09-19,1,1,1
PRJ-0228,Roads & Highways Project 228,Ministry of Education,Roads & Highways,Completed,239.88,318.5,329.52,98.3,12,4.8,5.1,32.8,5.1,2025-09-05,2026-08-31,1,0,1
PRJ-0229,Power Transmission Project 229,Ministry of Power,Power Transmission,Ongoing,781.97,975.78,341.49,79.6,67,0.5,-44.6,24.8,44.6,2025-06-18,2030-12-19,1,1,1
PRJ-0230,Power Transmission Project 230,Ministry of Housing & Urban Affairs,Power Transmission,Delayed,484.59,629.39,231.11,66.6,27,2.8,-29.8,29.9,29.8,2024-04-06,2026-06-25,1,1,1
PRJ-0231,Coal Mining Project 231,Ministry of Housing & Urban Affairs,Coal Mining,Stalled,132.71,176.72,28.38,5.0,20,5.8,11.1,33.2,11.1,2024-10-11,2026-06-03,1,0,1
PRJ-0232,Railways Project 232,Ministry of Petroleum & Natural Gas,Railways,Delayed,148.41,242.14,93.81,72.4,65,3.6,-33.7,63.2,33.7,2024-10-15,2030-02-16,1,1,1
PRJ-0233,Railways Project 233,Ministry of Jal Shakti,Railways,Delayed,44.65,46.71,21.62,58.6,30,0.1,-12.3,4.6,12.3,2024-04-27,2026-10-14,0,0,0
PRJ-0234,Coal Mining Project 234,Ministry of Power,Coal Mining,Ongoing,25.64,41.1,12.86,61.1,45,2.3,-29.8,60.3,29.8,2025-05-13,2029-01-22,1,1,1
PRJ-0235,Water Supply Project 235,"Ministry of Ports, Shipping & Waterways",Water Supply,Ongoing,2484.25,3263.03,2827.55,5.0,18,2.3,81.7,31.3,81.7,2024-11-09,2026-05-03,1,1,1
PRJ-0236,Steel Plants Project 236,Ministry of Education,Steel Plants,Delayed,97.71,117.51,18.56,67.6,39,7.1,-51.8,20.3,51.8,2024-03-13,2027-05-27,1,1,1
PRJ-0237,Airports Project 237,Ministry of Coal,Airports,Delayed,365.21,623.07,325.89,73.7,64,8.8,-21.4,70.6,21.4,2025-06-25,2030-09-27,1,1,1
PRJ-0238,Agriculture Infra Project 238,Ministry of Rural Development,Agriculture Infra,Delayed,1008.33,1422.45,1339.05,8.1,31,7.1,86.1,41.1,86.1,2024-08-08,2027-02-24,1,1,1
PRJ-0239,Steel Plants Project 239,Ministry of Jal Shakti,Steel Plants,Delayed,534.76,741.81,114.43,39.8,71,15.0,-24.4,38.7,24.4,2025-04-26,2031-02-24,1,1,1
PRJ-0240,Airports Project 240,Department of Telecommunications,Airports,Delayed,402.45,646.66,104.57,26.9,30,9.1,-10.7,60.7,10.7,2024-02-13,2026-08-01,1,1,1
PRJ-0241,Power Transmission Project 241,Ministry of Power,Power Transmission,Stalled,1647.47,2051.96,989.0,79.7,22,12.7,-31.5,24.6,31.5,2024-02-23,2025-12-14,1,1,1
PRJ-0242,Water Supply Project 242,Ministry of Health & Family Welfare,Water Supply,Delayed,687.15,760.62,384.18,38.8,34,11.6,11.8,10.7,11.8,2025-10-19,2028-08-04,0,1,1
PRJ-0243,Agriculture Infra Project 243,Ministry of Road Transport & Highways,Agriculture Infra,Completed,29.43,44.84,45.33,95.4,21,5.5,5.6,52.4,5.6,2025-03-12,2026-12-02,1,0,1
PRJ-0244,Roads & Highways Project 244,Ministry of Heavy Industries,Roads & Highways,Ongoing,372.26,383.87,262.37,21.7,17,5.4,46.7,3.1,46.7,2024-08-04,2025-12-27,1,1,1
PRJ-0245,Agriculture Infra Project 245,Ministry of Petroleum & Natural Gas,Agriculture Infra,Completed,139.35,203.64,213.76,99.3,59,0.0,5.7,46.1,5.7,2024-01-27,2028-12-01,1,0,1
PRJ-0246,Health Infra Project 246,Ministry of Power,Health Infra,Ongoing,300.85,515.47,427.5,37.8,65,7.8,45.2,71.3,45.2,2025-05-22,2030-09-23,1,1,1
PRJ-0247,Steel Plants Project 247,Ministry of Education,Steel Plants,Ongoing,209.8,277.33,128.26,46.4,15,7.2,-0.1,32.2,0.1,2025-07-26,2026-10-19,1,1,1
PRJ-0248,Steel Plants Project 248,Ministry of Health & Family Welfare,Steel Plants,Stalled,380.38,444.78,420.99,5.8,23,7.7,88.9,16.9,88.9,2025-07-15,2027-06-05,1,1,1
PRJ-0249,Telecom Project 249,Ministry of Chemicals & Fertilizers,Telecom,Delayed,111.75,173.52,122.8,44.1,52,3.6,26.7,55.3,26.7,2024-06-30,2028-10-07,1,1,1
PRJ-0250,Water Supply Project 250,Ministry of Education,Water Supply,Completed,458.38,714.94,710.96,95.8,65,14.7,3.7,56.0,3.7,2025-06-15,2030-10-17,1,1,1
